game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
.hack//Link,300,3.93,148,Easy-Just Right,57.69,54.7,37,57,36,PSP
7th Dragon 2020,214,4.05,135,Just Right-Tough,56.9,51.6,77,87,68,PSP
7th Dragon 2020-II,122,4.08,72,Just Right-Tough,45.9,48.2,42,44,68,PSP
Adventures to Go!,265,3.62,119,Easy-Just Right,69.64,34.3,18,31,22,PSP
Agarest Senki Mariage,52,3.74,25,Just Right-Tough,56.25,35,10,15,71,PSP
Alien Syndrome,194,3.34,70,Just Right,58.33,25.4,18,27,31,PSP
Angelique Retour,8,3.58,6,Just Right,33.33,16,2,2,67,PSP
Antiphona no Seikahime: Tenshi no Score Op.A,33,3.84,16,Tough,33.33,65,6,6,NA,PSP
Ape Quest,133,3.52,65,Easy-Just Right,68.42,22.2,12,27,36,PSP
Arms' Heart,25,1.27,11,Tough,28.57,4.3,6,6,55,PSP
Astonishia Story,514,3.03,181,Just Right,47.37,21.1,39,81,38,PSP
Crimson Gem Saga,781,3.65,347,Just Right,62.86,37.8,72,141,34,PSP
Battle Spirits: Hero's Soul,30,2.82,11,Just Right-Tough,42.86,23,4,4,36,PSP
Battle Spirits: Kiseki no Hasha,24,3.35,10,Tough,42.86,22.5,6,6,55,PSP
Blade Dancer: Lineage of Light,387,2.96,132,Just Right-Tough,71,33.7,19,48,29,PSP
Bleach: Soul Carnival,263,3.95,178,Just Right,41.27,24.2,50,116,58,PSP
Bleach: Soul Carnival 2,225,3.95,155,Just Right,52.7,34.9,54,95,61,PSP
Brandish: The Dark Revenant,125,3.96,71,Just Right-Tough,54,35.4,34,39,64,PSP
Brave Story: New Traveler,1030,3.78,481,Just Right,68.2,39.5,119,276,48,PSP
Breath of Fire III,970,4.17,427,Just Right,76.72,53,131,233,47,PSP
Dungeon Maker: Hunting Ground,158,3.59,65,Just Right,79.17,58.7,9,21,27,PSP
